id,created_at,updated_at,serialNo,batch,vesselName,loadPort,vesselSailingDate,blDate,quantity,netBl,tmVariationQty,baseUnitOfMeasure,plant,dischargePort,customerName,vessArrivalDt,norTenderedDate,norAcceptedDate,dischargeCommensementDate,dischargeCompletionDate,daysTaken,demurrageRate,arrivalPort,arrPortDesc,expectedArrivalDat,loadPortName,customsOutOfCharg,fullDetailOcc,edrmPermissionLett,materialCode,dischargeRate,settleUnsettle,settleUnsettleStatus,layDateToStart,laytimeToCompleteAsPerAgreedDiscR,tentativeLaytimeCalculationTime,tentatvLaytimeRate,qtyHeader,countryId,countryName,uniqueVesselId,customerNo,compositeKey,vesselArrivelTime,time,startTime,dischargeCommensementTime,dischargeCompletionTime,norAcceptedTime,norTenderedTime,layTimeToStart,endTime,actualLaytime,berthingTime,deductionPeriod
5d56645c-2383-4f43-9dbf-67b929f02f3a,51:29.0,34:36.9,1,I202122308,MV BERGE CRISTOBAL,16,00:00.0,00:00.0,164834,164834,0,MTS,5224,AEL-GANGAVARAM-EXBOND,AEL STOCK & SELL (YTT),00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,3,9000,5224,AEL-GANGAVARAM-EXBOND,00:00.0,RICHARDS BAY COAL TERMINAL,,,,S20010105,35000,,,00:00.0,4.71,2.21,9942.75,164834,ZA,SOUTH AFRICA,1000005017,113025,1|I202122308|1000005017,08:33:00,21:06:00,00:00:00,18:30:00,06:30:00,00:00:00,09:24:00,18:30:00,00:00:00,00:00:00,00:00:00,00:00:00
ce37c4d8-6dc9-40c5-94fc-67bcb7965dff,51:29.0,34:36.9,1,I202223451,MV EUROPA BAY,41,00:00.0,00:00.0,58155,0,0,MTS,5234,AEL-HAZIRA-EXBOND,AEL STOCK & SELL (YTT),00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,4,11000,5234,AEL-HAZIRA-EXBOND,00:00.0,PEUNAGA ANCH,,,,S20010105,25000,2,Unsettled,00:00.0,2.33,0.2,1079.1,58155,ID,INDONESIA,1000005953,113025,1|I202223451|1000005953,22:30:00,20:30:00,00:00:00,12:42:00,19:00:00,00:00:00,22:30:00,12:42:00,00:00:00,00:00:00,00:00:00,03:00:00
a374d1a0-9f96-49be-8e25-6812543f6846,51:29.0,34:36.9,4,I202223210,MV CAPE CONDOR,23,00:00.0,00:00.0,22500,22500,0,MTS,5224,AEL-GANGAVARAM-EXBOND,SIMHADRI SUPER THERMAL POWER,00:00.0,00:00.0,,00:00.0,00:00.0,14,11000,5224,AEL-GANGAVARAM-EXBOND,00:00.0,"TARAKAN A,INDONESIA",,,,S20010105,35000,1,Settled,00:00.0,4.71,-1.03,-11282.7,165000,ID,INDONESIA,1000005521,200037,4|I202223210|1000005521,13:27:00,16:18:00,00:00:00,12:00:00,05:45:00,00:00:00,13:27:00,12:00:00,00:00:00,00:00:00,00:00:00,00:00:00
63a79ff4-c345-4e96-8dec-6819a7fc96cc,51:29.0,34:36.9,2,I202223338,MV LILA NINGBO,4,00:00.0,00:00.0,8900,0,0,MTS,5203,AEL-DAHEJ-EXBOND,GUJARAT NARMADA VALLEY FERTILIZERS,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,3,11918,5203,AEL-DAHEJ-EXBOND,00:00.0,SAMARINDA ANCHORAGE,,,,S20010105,30000,1,Settled,00:00.0,2.82,-0.27,-3257.19,84500,ID,INDONESIA,1000005780,100399,2|I202223338|1000005780,07:30:00,08:10:00,00:00:00,13:25:00,15:40:00,00:00:00,07:30:00,13:25:00,00:00:00,00:00:00,00:00:00,00:00:00
3b683bf8-85b6-4904-b25f-681bad347884,51:29.0,34:36.9,1,I202122200,MV OJAS,10,00:00.0,00:00.0,108560,108560,0,MTS,5234,AEL-HAZIRA-EXBOND,AEL STOCK & SELL (YTT),00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,5,37000,5234,AEL-HAZIRA-EXBOND,00:00.0,"MUARA BERAU ANCHORAGE,",,,,S20010105,0,,,00:00.0,0,-5.11,-189070,108560,ID,INDONESIA,1000004890,113025,1|I202122200|1000004890,10:00:00,13:48:00,00:00:00,21:06:00,23:48:00,00:00:00,10:00:00,21:06:00,00:00:00,00:00:00,00:00:00,00:00:00
e1a3b0f7-e59b-40eb-b1e0-682f060a27d9,51:29.0,34:36.9,3,I202122372,MV S'HAIL AL KHOR,44,00:00.0,00:00.0,24600,24600,0,MTS,5208,AEL-MORMUGAO-EXBOND,SOLAPUR SUPER THERMAL POWER PROJECT,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,3,23000,5208,AEL-MORMUGAO-EXBOND,00:00.0,TANJUNG KAMPEH,,,,S20010105,30000,,,00:00.0,4.97,1.52,17517.95,149200,ID,INDONESIA,1000005088,205989,3|I202122372|1000005088,10:59:00,02:12:00,00:00:00,09:45:00,20:30:00,00:00:00,18:18:00,09:45:00,00:00:00,00:00:00,00:00:00,00:00:00
02a2d970-75f0-476a-b5c5-6830b829a4a8,51:29.0,34:36.9,1,I202324301,MV ELSABETH C,51,00:00.0,00:00.0,58500,58500,0,MTS,5234,AEL-HAZIRA-EXBOND,AEL STOCK & SELL (YTT),00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,4,14000,5234,AEL-HAZIRA-EXBOND,00:00.0,MEULABOH ANCH,,,,S20010105,25000,,,00:00.0,2.34,0.18,1260,58500,ID,INDONESIA,1000006406,113025,1|I202324301|1000006406,22:42:00,11:48:00,00:00:00,00:18:00,10:30:00,00:00:00,22:42:00,00:18:00,00:00:00,00:00:00,00:00:00,06:06:00
2cccb00e-3085-4183-8a2b-6835c7db20bc,51:29.0,34:36.9,2,I202223135,MV CAPE SANDRA,3,00:00.0,00:00.0,20000,20000,0,MTS,5224,AEL-GANGAVARAM-EXBOND,NTPC LTD,00:00.0,00:00.0,,00:00.0,00:00.0,2,19000,5224,AEL-GANGAVARAM-EXBOND,00:00.0,"TABONEO ANCHORAGE,",,,,S20010105,35000,1,Settled,00:00.0,1.57,-0.06,-1113.4,55000,ID,INDONESIA,1000005391,205987,2|I202223135|1000005391,10:22:00,00:32:00,00:00:00,21:00:00,12:00:00,00:00:00,11:28:00,21:00:00,00:00:00,00:00:00,00:00:00,00:00:00
0da34f3a-94e5-40e9-a7f3-68423fe79b1c,51:29.0,34:36.9,1,I201920343,MV XING XI HAI,0,00:00.0,00:00.0,24350,24350,0,MTS,5213,AEL-VISAKHAPATNAM-EXBOND,MAHARASHTRA STATE POWER GENERATION,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,7,14500,,,00:00.0,,,,,S20010105,0,,,00:00.0,0,-2,-29000,60350,,,1000004196,200054,1|I201920343|1000004196,22:42:00,06:24:00,00:00:00,06:00:00,06:00:00,00:00:00,23:36:00,06:00:00,00:00:00,00:00:00,00:00:00,00:00:00
36bc6632-2ccc-41fa-b215-6850640ffc89,51:29.0,34:36.9,1,S202324003,MV MBA FUTURE,5212,00:00.0,00:00.0,77100,77100,0,MTS,5212,AEL-PARADIP-EXBOND,NTPC LTD,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,1,13500,5212,AEL-PARADIP-EXBOND,00:00.0,,,,,S20010113,40000,,,,1.93,-738621.75,-9971394064,77100,,,1000006028,17937,1|S202324003|1000006028,12:00:00,05:00:00,00:00:00,15:30:00,17:00:00,00:00:00,12:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
