parcelNo,vesselPositionStatus,expectedArrivalDateAtLoadPort,arrivedDateAtLoadPort,expectedArrivalDateAtDischargePort,arrivedDateAtDischargePort,blDate,blQuantity,customerGroup,vendor,parcelType,vesselName,loadPortName,dischargePortName,vesselNo,vesselType,supplierDemurrageRate,cOO,mineName,productName,supplierGroup,originWiseGrade,mineWiseGrade,grade,monthName
P15812425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,APL,APL,Parcel A,MV ORMOND,Satui Anch/NPLCT/Tj.Pemancingan Anch at Seller op,Any Port India,550-23-24,Cape,15750,Indonesia,Arutmin,INDO 4700 GAR,Trader,INDO 4700,AR 4700,ARUTMIN 4700,Feb-24
P26802526,To DP,00:00.0,00:00.0,00:00.0,,00:00.0,75938,APL,APL,Parcel A,MV GREEK FRIENDSHIP,Taboneo Anchorage,Tuticorin,067-25-26,Panamax,16750,Indonesia,BMB,INDO 4200 GAR,Miner / Refiner,INDO 4200,BM 4200,BMB 4200,May-25
P2292223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,37500,SEB,NTPC,Parcel B,MV MONTECRISTO,Tarakan Anch,Mundra,375-21-22,Cape,16000,Indonesia,MIP,INDO 4800 GAR,Miner / Refiner,INDO 4800,MI 4800,MIP 4800,22-Mar
P25362425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,41680,Stock and Sales,AEL,Parcel D,MV LAMBERT MARU,Muara Berau / Muara Jawa,Hazira,503-24-25,Cape,,Indonesia,LHI,INDO 3800 GAR.,Miner / Refiner,INDO 3800,LH 3800,LHI 3800,Jan-25
P16182425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,APL,APL,Parcel A,MV PONTOTRITON,Satui Anch/NPLCT/Tj.Pemancingan Anch at Seller op,Mundra,590-23-24,Cape,19000,Indonesia,Arutmin,INDO 4700 GAR,Trader,INDO 4700,AR 4700,ARUTMIN 4700,Mar-24
P12412324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,29066,Stock and Sales,AEL,Parcel B,MV NAVIOS AVIOR,"Matola, Mozambique",Haldia,194-23-24,Panamax,,SA,SA Glencore,SA 5200 Min,Miner / Refiner,SA 5200,GI 5200,GIAG 5200,Aug-23
P26662526,To DP,00:00.0,00:00.0,00:00.0,,00:00.0,75920,Stock and Sales,AEL,Parcel A,MV SPIRIT OF HO-PING,Bunati Anchorage,Dahej,029-25-26,Panamax,14467,Indonesia,Jhonlin,INDO 4200 GAR,Miner / Refiner,INDO 4200,JH 4200,JHONLIN 4200,Apr-25
P19022425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,64426,Stock and Sales,AEL,Parcel A,MV ETG AQUARIUS,"CSX, Baltimore",Krishnapatnam,228-24-25,Panamax,28000,USA,AS per Remarks,NAPP 6650 NAR Min,Trader,USA 6650,NA 6650,NAPP 6650,Aug-24
P1782122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,55800,Stock and Sales,AEL,Parcel A,MV SHENG FENG HAI,Peunaga Anch,Navlakhi,285-21-22,Supramax,27000,Indonesia,MIFA,INDO 3400 GAR,Miner / Refiner,INDO 3400,MI 3400,MIFA 3400,Dec-21
P9022324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,154000,TC - Direct Customer,STARPORT,Parcel A,MV OCEAN QUEEN,Abbot Point,China,028-23-24,Cape,24000,AUS,AS per Remarks,AUS 3000 - 5500 GAR,Trader,AUS 5500,,,23-Apr
