parcelNo,vesselPositionStatus,expectedArrivalDateAtLoadPort,arrivedDateAtLoadPort,expectedArrivalDateAtDischargePort,arrivedDateAtDischargePort,blDate,blQuantity,customerGroup,vendor,parcelType,vesselName,loadPortName,dischargePortName,vesselNo,vesselType,supplierDemurrageRate,cOO,mineName,productName,supplierGroup,originWiseGrade,mineWiseGrade,grade,monthName
P12472324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,34500,SEB,NTPC,Parcel B,MV APJ KABIR ANAND,Tj Kampeh,Haldia,340-23-24,Panamax,18500,Indonesia,DIZAMATRA,INDO 4700 GAR,Trader,INDO 4700,DI 4700,DIZAMATRA 4700,Oct-23
P12492324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,30000,SEB,NTPC 2,Parcel B,MV CK BLUEBELL,Tj Kampeh,Haldia,364-23-24,Panamax,19500,Indonesia,DIZAMATRA,INDO 4700 GAR,Trader,INDO 4700,DI 4700,DIZAMATRA 4700,Nov-23
P8222324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,77000,SEB,NTPC,Parcel B,MV SUNRISE,Muara Berau Anchorage,Dahej,400-22-23,Cape,,Indonesia,Alam Jaya,INDO 4700 GAR,Trader,INDO 4700,AJ 4700,AJ 4700,Feb-23
P18782425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80577,APL,APL,Parcel A,MV NBA PEACE,Taboneo Anchorage,Mundra,246-24-25,Cape,25250,Indonesia,BRE,INDO 4100 GAR,Trader,INDO 4100,BR 4100,BRE 4100,Aug-24
P13242425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82494,Stock and Sales,AEL,Parcel A,MV KWK PROVIDENCE,RBCT,Any Port India,059-24-25,Cape,29000,SA,SA Anglo,SA 4500 Min,Miner / Refiner,SA 4500,AN 4500,ANGLO 4500,May-24
P18232425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,56350,TC - Direct Customer,SHS,Parcel A,MV AURORA SB,Bunyu Anchorage,China,160-24-25,Supramax,16206,Indonesia,Saka Putra (SPP),INDO 3000 GAR,Miner / Refiner,INDO 3000,SP 3000,SPP 3000,Jun-24
P19922425,Completed At DP,,,00:00.0,00:00.0,00:00.0,77592,Stock and Sales,AEL,Parcel A,MV CL DALIAO HE,Baltimore,Krishnapatnam,169-23-24,Panamax,18000,USA,AS per Remarks,NAPP 6650 NAR Min,Trader,USA 6650,NA 6650,NAPP 6650,Jul-23
P23352425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,47500,Stock and Sales,AEL,Parcel D,MV MINERAL NEW YORK,Muara Sangkulirang,Hazira,413-24-25,Cape,21359,Indonesia,GAM,INDO 3400 GAR,Miner / Refiner,INDO 3400,GA 3400,GAM 3400,Nov-24
P21042425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,SEB 2,NTPC 2,Parcel A,MV GOLDEN BEIJING,Muara Pantai,SANDHEADS,404-23-24,Cape,20000,Indonesia,Berau,INDO 4800 GAR,Miner / Refiner,INDO 4800,BE 4800,BERAU 4800,Nov-23
P16652425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82266,Stock and Sales,AEL,Parcel B,MV BALTIMORE,RBCT,Gangavaram,109-24-25,Cape,36000,SA,AS per Remarks,SA 5300 Min,Trader,SA 5300,,,Jul-24
P25502425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,85000,APL,APL,Parcel B,MV GH LEVECHE,TBCT,Mundra,551-24-25,Cape,,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Feb-25
P10352324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,41886,Stock and Sales,AEL,Parcel A,MV PANAMANIAN,Kaliorang Anch,Any Port India,174-23-24,Panamax,10783,Indonesia,Indexim,INDO 4200 GAR,Trader,INDO 4200,IN 4200,INDEXIM 4200,Jul-23
P7892324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,68700,TC - Direct Customer,HUIHUANG,Parcel A,MV XIN DONG GUAN 14,Bunyu Anchorage,China,367-22-23,Panamax,14000,Indonesia,Bunyu LIM,INDO 3000 GAR,Miner / Refiner,INDO 3000,BU 3000,BUNYU 3000,Jan-23
P7052223,Completed At DP,00:00.0,00:00.0,00:00.0,,00:00.0,73942,Stock and Sales,AEL,Parcel B,MV SEALINK,RBCT,Dhamra,329-22-23,Cape,20000,SA,SA Glencore,SA 4600 Min,Miner / Refiner,SA 4600,GI 4600,GIAG 4600,Dec-22
P22182425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80000,APL,APL,Parcel A,MV CAPTAIN LEONIDAS,TBCT,Mundra,358-24-25,Cape,31500,Indonesia,Melawan Mine ,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Oct-24
P19142425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,60000,Stock and Sales,AEL,Parcel A,MV TRUONG MINH PROSPERITY,Meulaboh,Hazira,266-24-25,Supramax,19397,Indonesia,MIFA,INDO 3400 GAR,Miner / Refiner,INDO 3400,MI 3400,MIFA 3400,Sep-24
P26982526,To DP,00:00.0,00:00.0,00:00.0,,00:00.0,67700,TC - Direct Customer,YUEHE,Parcel A,MV CHANG YANG JIN SHA,Tarakan Anch,China,047-25-26,Panamax,11000,Indonesia,MIP,INDO 4800 GAR,Miner / Refiner,INDO 4800,MI 4800,MIP 4800,May-25
P11442324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82067,APL,UDUPI POWER,Parcel A,MV XIN HUAN HAI,Muara Pantai,New Mangalore,318-23-24,Panamax,19250,Indonesia,Berau,INDO 5300 GAR,Trader,INDO 5300,BE 5300,BERAU 5300,Oct-23
P24802425,Completed At DP,00:00.0,00:00.0,,,00:00.0,74375,APL,APL,Parcel A,MV HARRIET P,BOCT or Maura Berau Anchorage (Samarinda),New Mangalore,497-24-25,Panamax,13750,Indonesia,PT Bharinto Ekatama,INDO 5500 GAR,Miner / Refiner,INDO 5500,BA 5500,BANPU 5500,Jan-25
P14042425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,71780,APL,UDUPI POWER,Parcel A,MV LUCKY ALISA,Muara Pantai,New Mangalore,439-23-24,Panamax,21000,Indonesia,Berau,INDO 5000 GAR,Trader,INDO 5000,BE 5000,BERAU 5000,Dec-23
P17912425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,81430,APL,APL,Parcel B,MV OJAS,TBCT,Mundra,143-23-24,Cape,19000,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Jul-23
P23532425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,55000,TC - Direct Customer,QJD,Parcel A,MV TAN ZHOU LUN,Muara Pantai,China,459-22-23,Supramax,,Indonesia,ATM,INDO 3800 GAR,Miner / Refiner,INDO 3800,AT 3800,ATM 3800,Mar-23
P15692425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,APL,APL,Parcel A,MV VIDYUT,TBCT,Mundra,542-23-24,Cape,18000,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Feb-24
P22422425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,APL,APL,Parcel A,MV MARAN CONQUEROR,Adang Bay,Mundra,405-24-25,Cape,20682,Indonesia,kideco,INDO 4200 GAR,Miner / Refiner,INDO 4200,KI 4200,KIDECO 4200,Nov-24
P7782324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,60500,Stock and Sales,AEL,Parcel A,MV ULTRA INTEGRITY,Meulaboh,Tuna,355-22-23,Supramax,17000,Indonesia,MIFA,INDO 3400 GAR,Miner / Refiner,INDO 3400,MI 3400,MIFA 3400,Jan-23
P8762324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,54300,Stock and Sales,AEL,Parcel A,MV MAITHILI,Meulaboh,Hazira,425-22-23,Supramax,13000,Indonesia,MIFA,INDO 3400 GAR,Trader,INDO 3400,MI 3400,MIFA 3400,Feb-23
P1202122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82179,Stock and Sales,AEL,Parcel C,MV BERGE APO,RBCT,Gangavaram,313-21-22,Cape,20500,SA,SA Glencore,SA 5200 Min,Miner / Refiner,SA 5200,GI 5200,GIAG 5200,Feb-22
P16622425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,75000,APL,UDUPI POWER,Parcel A,MV MINT,BOCT or Maura Berau Anchorage (Samarinda),New Mangalore,151-24-25,Panamax,23000,Indonesia,PT Bharinto Ekatama,INDO 5500 GAR,Miner / Refiner,INDO 5500,BA 5500,BANPU 5500,Jun-24
P7042223,Completed At DP,00:00.0,00:00.0,00:00.0,,00:00.0,67587,Stock and Sales,AEL,Parcel A,MV SEALINK,RBCT,Dhamra,329-22-23,Cape,20000,SA,SA Glencore,SA 5200 Min,Miner / Refiner,SA 5200,GI 5200,GIAG 5200,Dec-22
P18522425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80000,APL,APL,Parcel A,MV SSI BRILLIANT,TBCT,Mundra,226-24-25,Cape,25000,Indonesia,Melawan Mine ,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Aug-24
P15212425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,40000,Stock and Sales,AEL,Parcel A,MV FRIENDSHIP,Muara Berau / Muara Jawa,Navlakhi,138-24-25,Cape,27468,Indonesia,LHI,INDO 3800 GAR.,Miner / Refiner,INDO 3800,LH 3800,LHI 3800,Jun-24
P23242425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,49157,Stock and Sales,AEL,Parcel B,MV VISHVA JYOTI,RBCT,Goa,414-24-25,Panamax,18000,SA,SA Glencore,SA 5200 Min,Miner / Refiner,SA 5200,GI 5200,GIAG 5200,Nov-24
P25872425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,59570,Stock and Sales,AEL,Parcel A,MV LEYLA AKSOY,MPT or DBT,Jakhau,591-24-25,Supramax,,SA,AS per Remarks,SA 5700 Min,Trader,SA 5700,,,Mar-25
P24762425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,52100,Stock and Sales,AEL,Parcel E,MV ADONIS,Muara Berau / Muara Jawa,Hazira,484-24-25,Cape,15668,Indonesia,BISM,INDO 3200 GAR,Miner / Refiner,INDO 3200,BI 3200,BISM 3200,Dec-24
P21812425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,43900,Stock and Sales,AEL,Parcel A,MV RG ATHENA,Tj Kampeh,Krishnapatnam,382-24-25,Panamax,19000,Indonesia,GPE,INDO 4100 GAR,Trader,INDO 4100,GP 4100,GPE 4100,Oct-24
P16812425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,31700,Stock and Sales,AEL,Parcel D,MV MARAN VICTORY,RBCT,Dhamra,628-23-24,Cape,36000,SA,SA Glencore,SA 5200 Min,Miner / Refiner,SA 5200,GI 5200,GIAG 5200,Mar-24
P10992324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,58100,Stock and Sales,AEL,Parcel A,MV PEACE HOPE,Meulaboh,Hazira,266-23-24,Supramax,13000,Indonesia,MIFA,INDO 3400 GAR,Miner / Refiner,INDO 3400,MI 3400,MIFA 3400,Sep-23
P2792223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,60196,Stock and Sales,AEL,Parcel C,MV GOLDEN KAKI,Muara Berau Anchorage,Dahej,029-22-23,Cape,18000,Indonesia,Kutai Energi,INDO 4200 GAR,Miner / Refiner,INDO 4200,KE 4200,KE 4200,Apr-22
P26112425,Completed At DP,00:00.0,00:00.0,,,00:00.0,85000,APL,APL,Parcel A,MV LAKE D,Taboneo Anchorage,Mundra,618-24-25,Cape,27273,Indonesia,Adaro,INDO 4700 GAR,Trader,INDO 4700,AD 4700,ADARO 4700,Mar-25
P13382425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,72080,Stock and Sales,COASTAL ENERGEN,Parcel A,MV NIKOLAOS,Adang Bay,Tuticorin,012-24-25,Panamax,23250,Indonesia,kideco,INDO 4200 GAR,Miner / Refiner,INDO 4200,KI 4200,KIDECO 4200,Apr-24
P2132223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,56450,Stock and Sales,AEL,Parcel A,MV DIMIJOHN A,Muara Sabak Anchorage,Hazira,368-21-22,Supramax,33000,Indonesia,SGM,INDO 3400 GAR,Miner / Refiner,INDO 3400,SG 3400,SGM 3400,Apr-22
P8662324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,73400,APL,UDUPI POWER,Parcel A,MV LUCK FORTUNE,Muara Pantai,New Mangalore,426-22-23,Panamax,14500,Indonesia,Berau,INDO 5300 GAR,Trader,INDO 5300,BE 5300,BERAU 5300,Feb-23
P16762425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80075,APL,APL,Parcel B,MV GOLDEN ZHEJIANG,BCT and BOA or BOA and MBA,Mundra,173-24-25,Cape,28000,Indonesia,Bayan,INDO 4000 GAR,Miner / Refiner,INDO 4000,TA 4000,TA 4000,Jul-24
P26622526,To DP,00:00.0,00:00.0,00:00.0,,00:00.0,82500,SEB,GEB,Parcel A,MV EMERALD DINGHAI,Muara Pantai,Bedi,018-25-26,Panamax,15500,Indonesia,Berau,INDO 5100 GAR,Miner / Refiner,INDO 5100,BE 5100,BERAU 5100,Apr-25
P0842122,Arrived at DP,00:00.0,00:00.0,00:00.0,,00:00.0,131994,Stock and Sales,AEL,Parcel A,MV ORIENT ANGEL,United Bulk Terminal (UBT),Tuna,316-21-22,Cape,33000,USA,USA NAPP,US NAPP 6500,Miner / Refiner,USA 6500,NA 6500,NAPP 6500,Mar-22
P23812425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,43240,Stock and Sales,AEL,Parcel A,MV STC SENTOSA,Muara Berau Anchorage,Hazira,471-22-23,Panamax,,Indonesia,Singlurus,INDO 4600 GAR,Miner / Refiner,INDO 4600,SI 4600,SINGLURUS 4600,Mar-23
P4092223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,SEB,AEL;,Parcel B,MV ANGEL II,Muara Pantai,Gangavaram,096-22-23,Cape,39500,Indonesia,Berau,INDO 4800 GAR,Trader,INDO 4800,BE 4800,BERAU 4800,May-22
P1392122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,108824,Stock and Sales,AEL,Parcel B,MV MANASOTA,RBCT,Gangavaram,296-21-22,Cape,27000,SA,SA Glencore,SA 5200 Min,Miner / Refiner,SA 5200,GI 5200,GIAG 5200,Jan-22
P25452425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,75000,Stock and Sales,AEL,Parcel A,MV PEDHOULAS ROSE,Muara Sangkulirang,Dahej,565-24-25,Panamax,,Indonesia,Indexim,INDO 4200 GAR,Trader,INDO 4200,IN 4200,INDEXIM 4200,Feb-25
P2642223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,SEB,NTPC,Parcel B,MV CHARM,Muara Pantai,Mundra + Dahej,020-22-23,Cape,23000,Indonesia,Berau,INDO 5100 GAR,Trader,INDO 5100,BE 5100,BERAU 5100,Apr-22
P24072425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,30000,Stock and Sales,AEL,Parcel B,MV JY SHANGHAI,RBCT,GOPALPUR,421-24-25,Panamax,18500,SA,SA Glencore,SA 4600 Min,Miner / Refiner,SA 4600,GI 4600,GIAG 4600,Nov-24
P15712425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,55000,APL,APL,Parcel A,MV BULK PROVIDENCE,TBCT,Mundra,544-23-24,Cape,17000,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Feb-24
P16412425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,SEB,GEB,Parcel B,MV CARDINAL VICTORY,Muara Pantai,Dahej,606-23-24,Cape,31100,Indonesia,Berau,INDO 5100 GAR,Miner / Refiner,INDO 5100,BE 5100,BERAU 5100,Mar-24
P5922223,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,30000,Stock and Sales,AEL,Parcel B,MV SKITHOS,Taboneo Anchorage,Dighi,246-22-23,Panamax,21000,Indonesia,Padangbara,INDO 5000 GAR,Miner / Refiner,INDO 5000,PS 5000,PSM 5000,Aug-22
P2062122,Arrived at DP,00:00.0,00:00.0,00:00.0,,00:00.0,67685,Stock and Sales,AEL,Parcel A,MV GOLDEN ZHOUSHAN,RBCT,Dhamra,355-21-22,Cape,18000,SA,SA Anglo,SA 5200 Min,Miner / Refiner,SA 5200,AN 5200,ANGLO 5200,Mar-22
P16972425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,47500,Stock and Sales,AEL,Parcel B,MV CAPE JACARANDA,Bunyu Anchorage,Hazira,032-23-24,Cape,18064,Indonesia,Bunyu LIM,INDO 3000 GAR,Miner / Refiner,INDO 3000,BU 3000,BUNYU 3000,Apr-23
P5842223,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,38500,Stock and Sales,MAHAGENCO,Parcel A,MV CS WU HAN,Muara Berau Anchorage,Krishnapatnam,241-22-23,Cape,17500,Indonesia,BSSR,INDO 4100 GAR,Miner / Refiner,INDO 4100,BS 4100,BSSR 4100,Aug-22
P2422223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,SEB,NTPC,Parcel B,MV LUISE OLDENDORFF,Muara Berau Anchorage,Mundra,054 - 22-23,Cape,30000,Indonesia,MHU,INDO 5000 GAR,Trader,INDO 5000,MH 5000,MHU 5000,May-22
P1982122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,13933,SEB,AEL,Parcel B,MV KMAX EVODOKIA,Tarakan Anch,Gangavaram,265-21-22,Panamax,24000,Indonesia,MJE,INDO 4800 GAR,Miner / Refiner,INDO 4800,MJ 4800,MJE 4800,Dec-21
P4242223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,41430,Stock and Sales,AEL,Parcel A,MV ARROW LADY,Muara Berau Anchorage,Navlakhi,166-22-23,Panamax,29000,Indonesia,BSSR,INDO 4100 GAR,Miner / Refiner,INDO 4100,BS 4100,BSSR 4100,Jul-22
P8582324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80164,SEB,GEB,Parcel A,MV NAVIOS SKY,Muara Pantai,Bedi,412-22-23,Panamax,12500,Indonesia,Berau,INDO 5100 GAR,Trader,INDO 5100,BE 5100,BERAU 5100,Feb-23
P12932425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,APL,APL,Parcel A,MV MINERAL TEMSE,TBCT,Mundra,338-23-24,Cape,23000,Indonesia,Melawan Mine,INDO 4200 GAR,Miner / Refiner,INDO 4200,KP 4200,KPC 4200,Oct-23
P1002122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,76050,SEB,,Parcel A,MV STAR TOPAZ,Bankgka Strait Anchorage,Goa,332-21-22,Panamax,23000,Indonesia,MAS,INDO 5000 GAR,Miner / Refiner,INDO 5000,MA 5000,MA 5000,Feb-22
P22602425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,56400,Stock and Sales,AEL,Parcel A,MV ALEENA 1,Meulaboh,Hazira,423-24-25,Supramax,17500,Indonesia,MIFA,INDO 3400 GAR,Thru Broker,INDO 3400,MI 3400,MIFA 3400,Nov-24
P1212122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,75999,Stock and Sales,AEL,Parcel A,MV RACE,RBCT,Gangavaram,314-21-22,Cape,14000,SA,SA Exxaro,SA 5200 Min,Thru Broker,SA 5200,EX 5200,EXXARO 5200,Feb-22
P13692425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,32500,APL,APL,Parcel B,MV CAPE LILY,TBCT,Dahej,004-24-25,Cape,40000,Indonesia,Melawan Mine ,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Apr-24
P14242425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,APL,APL,Parcel A,MV CS JI NAN,TBCT,Mundra,098-24-25,Cape,28000,Indonesia,Melawan Mine ,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,May-24
P5102223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,103840,SEB,NTPC,Parcel B,MV CAPE SANDRA,Taboneo Anchorage,Any Port India,135-22-23,Cape,31500,Indonesia,Adaro,INDO 4700 GAR,Miner / Refiner,INDO 4700,AD 4700,ADARO 4700,Jun-22
P13322425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,70000,Stock and Sales,AEL,Parcel B,MV BULK ARA,RBCT,Dhamra,001-24-25,Cape,39000,SA,SA Anglo,SA 5200 Min,Miner / Refiner,SA 5200,AN 5200,ANGLO 5200,Apr-24
P16032425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,100000,Stock and Sales,AEL,Parcel A,MV MICHALIS JR,Abbot Point,Krishnapatnam,570-23-24,Cape,18359,AUS - CM,BRAVUS - Carmichael,3000 - 5500 GAR,Miner / Refiner,AUS 5500,CM 5500,BRAVUS-CARMICHAEL 5500,Mar-24
P17062425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,35640,Stock and Sales,AEL,Parcel D,MV HONOR,Muara Berau Anchorage,Krishnapatnam,042-23-24,Cape,20100,Indonesia,PT Karya Putra Borneo (KPB),INDO 4000 GAR,Trader,INDO 4000,KP 4000,KPB 4000,Apr-23
P5172223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80083,SEB,NTPC,Parcel B,MV MONEMVASIA,TBCT,Goa,139-22-23,Cape,27500,Indonesia,Melawan Mine,INDO 4700 GAR,Trader,INDO 4700,KP 4700,KPC 4700,Jun-22
P5142223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,77000,SEB,NTPC,Parcel A,MV ALEXANDRA P,Muara Berau Anchorage,Dhamra,138-22-23,Cape,27500,Indonesia,Alam Jaya,INDO 4700 GAR,Trader,INDO 4700,AJ 4700,AJ 4700,Jun-22
P25962425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,45000,Stock and Sales,AEL,Parcel D,MV VIDYUT,RBCT,Dhamra,570-24-25,Cape,,SA,SA  Seriti (S32),SA 4500 Min,Trader,SA 4500,S3 4500,S32 4500,Feb-25
P3962223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,SEB,NTPC,Parcel B,MV COURAGIOUS,Muara Pantai,Mundra,090-22-23,Cape,36500,Indonesia,Berau,INDO 5100 GAR,Trader,INDO 5100,BE 5100,BERAU 5100,May-22
P7412223,To DP,00:00.0,00:00.0,00:00.0,,00:00.0,20000,Stock and Sales,AEL,Parcel B,MV ORSOLA BOTTIGLIERI,"Nacala Port, Mozambique",Krishnapatnam,310-22-23,Cape,23000,Mozambique,Moatize,Moatize 5850 NAR,Miner / Refiner,MZBQ 5850,MO 5850,MOATIZE 5850,Nov-22
P5122223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,37612,SEB,NTPC,Parcel A,MV KATERINA III,"IBT, S/KAL",Paradip,137-22-23,Panamax,30000,Indonesia,MME (MEGA MULTI ENERGI),INDO 4900 GAR,Trader,INDO 4900,MM 4900,MME 4900,Jun-22
P26902526,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,161100,APL,APL,Parcel A,MV CAPE IRIS,Kaliorang Anch,Mundra,065--25-26,Cape,20296,Indonesia,Indexim,INDO 4200 GAR,Trader,INDO 4200,IN 4200,INDEXIM 4200,Apr-25
P5372223,Arrived at DP,00:00.0,00:00.0,00:00.0,,00:00.0,43625,SEB,NTPC,Parcel A,MV BBG YULIN,Muara Berau Anchorage,Paradip,158-22-23,Panamax,30500,Indonesia,TMU,INDO 4800 GAR,Trader,INDO 4800,TM 4800,TMU 4800,Jun-22
P6342223,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,40000,Stock and Sales,AEL,Parcel B,MV NAVIOS BEAUFIKS,Muara Berau Anchorage,Hazira,263-22-23,Cape,12000,Indonesia,BSSR,INDO 4100 GAR,Miner / Refiner,INDO 4100,BS 4100,BSSR 4100,Sep-22
P1942122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82229,Stock and Sales,AEL,Parcel A,MV CAPE TRADER,RBCT,Gangavaram,270-21-22,Cape,35000,SA,AS per Remarks,SA 5300 Min,Trader,SA 5300,,,Dec-21
P15272425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,73013,Stock and Sales,AEL,Parcel A,MV CHOLA VIRTUE,Tj Pemachingam,Hazira,516-23-24,Panamax,16865,Indonesia,Jhonlin,INDO 3800 GAR,Miner / Refiner,INDO 3800,JH 3800,JHONLIN 3800,Jan-24
P17132425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,50317,Stock and Sales,AEL,Parcel C,MV AN LI,RBCT,Krishnapatnam,119-24-25,Cape,24000,SA,AS per Remarks,SA 5850 Min,Trader,SA 5850,,,Jul-24
P26882526,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,85000,APL,APL,Parcel B,MV MINERAL SUBIC,TBCT,Mundra,045-25-26,Cape,23000,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Apr-25
P1272122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,66000,Stock and Sales,AEL,Parcel C,MV BERGE CRISTOBAL,RBCT,Gangavaram,266-21-22,Cape,32000,SA,AS per Remarks,SA 5300 Min,Trader,SA 5300,,,Dec-21
P24032425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,50000,Stock and Sales,AEL,Parcel C,MV SOUTHERN HARMONY,Muara Berau Anchorage,Navlakhi,019-23-24,Cape,,Indonesia,LHI,INDO 3800 GAR.,Miner / Refiner,INDO 3800,LH 3800,LHI 3800,Apr-23
P17282425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,25000,Stock and Sales,AEL,Parcel B,MV ALICE OLDENDORFF,Tj Pemachingam,Dahej,057-23-24,Cape,18000,Indonesia,Jhonlin,INDO 3800 GAR,Miner / Refiner,INDO 3800,JH 3800,JHONLIN 3800,Apr-23
P5412223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80000,APL,APL,Parcel A,MV CS GRACE,Bunati Anchorage,Mundra,160-22-23,Cape,27500,Indonesia,BIB,INDO 4200 GAR,Miner / Refiner,INDO 4200,BI 4200,BIB 4200,Jun-22
